"year","month","date","close","high","low","open","volume"
"2005",Aug,"2005-08-01",2152.09,2219.91,2112.25,2191.49,"34238710000"
"2005",Sep,"2005-09-01",2151.69,2186.83,2093.06,2150.03,"34790080000"
"2005",Oct,"2005-10-01",2120.3,2167.0,2025.58,2152.7,"36500900000"
"2005",Nov,"2005-11-01",2232.82,2269.3,2108.86,2109.89,"35854200000"
"2005",Dec,"2005-12-01",2205.32,2278.16,2200.51,2244.85,"34343260000"
"2006",Jan,"2006-01-01",2305.82,2332.92,2189.91,2216.53,"41781780000"
"2006",Feb,"2006-02-01",2281.39,2313.53,2232.68,2294.11,"37103890000"
"2006",Mar,"2006-03-01",2339.79,2353.14,2239.54,2288.15,"47567350000"
"2006",Apr,"2006-04-01",2322.57,2375.54,2299.42,2352.24,"39227480000"
"2006",May,"2006-05-01",2178.88,2352.56,2135.81,2329.79,"45923780000"
"2006",Jun,"2006-06-01",2172.09,2233.88,2065.11,2179.82,"43418010000"
"2006",Jul,"2006-07-01",2091.47,2190.44,2012.78,2177.91,"36405330000"
"2006",Aug,"2006-08-01",2183.75,2193.34,2048.22,2080.34,"38177580000"
"2006",Sep,"2006-09-01",2258.43,2273.3,2147.44,2194.56,"37304950000"
"2006",Oct,"2006-10-01",2366.71,2379.29,2224.21,2257.0,"42714580000"
"2006",Nov,"2006-11-01",2431.77,2468.42,2316.82,2373.49,"38943340000"
"2006",Dec,"2006-12-01",2415.29,2470.95,2392.95,2430.75,"35073670000"
"2007",Jan,"2007-01-01",2463.93,2508.93,2394.66,2429.72,"42688490000"
"2007",Feb,"2007-02-01",2416.15,2531.42,2395.35,2474.08,"39700560000"
"2007",Mar,"2007-03-01",2421.64,2459.96,2331.57,2377.18,"43563900000"
"2007",Apr,"2007-04-01",2525.09,2562.99,2409.04,2425.36,"39717000000"
"2007",May,"2007-05-01",2604.52,2607.9,2510.57,2529.95,"44252460000"
"2007",Jun,"2007-06-01",2603.23,2634.6,2534.97,2614.01,"45340310000"
"2007",Jul,"2007-07-01",2546.27,2724.74,2545.9,2617.39,"45107360000"
"2007",Aug,"2007-08-01",2596.36,2627.75,2386.69,2538.5,"52126030000"
"2007",Sep,"2007-09-01",2701.5,2716.75,2536.93,2596.38,"35257250000"
"2007",Oct,"2007-10-01",2859.12,2861.51,2698.14,2704.25,"48751620000"
"2007",Nov,"2007-11-01",2660.96,2835.63,2539.81,2835.0,"50214790000"
"2007",Dec,"2007-12-01",2652.28,2734.82,2553.99,2654.91,"37753390000"
"2008",Jan,"2008-01-01",2389.86,2661.5,2202.54,2653.91,"55211960000"
"2008",Feb,"2008-02-01",2271.48,2419.23,2252.65,2392.58,"45767570000"
